ticker,model_version,qv_policy_version,watch_observed_at,qv_status,qv_reason,qv_event,trend_status,trend_reason,trend_event,price,price_asof,financial_asof,fundamentals_asof,entry_status,qv_price_limit,qv_pe,qv_normalized_owner_yield,roe,trend_asof,trend_adjusted_close,trend_ma50,trend_ma200,trend_momentum_6m,trend_benchmark_momentum_6m,trend_relative_6m,trend_benchmark,trend_benchmark_close,trend_observations
KVUE,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,18.74,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T17:59:29.058110+00:00,WAIT_PRICE,17.263878835640515,21.71006895775021,0.0479507122259584,0.1571117217852743,,,,,,,,,,
A,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,150.86,2026-09-04T20:04:11+00:00,2026-07-31,2026-09-07T17:59:46.086589+00:00,WAIT_PRICE,80.27568898369603,29.539835223109915,0.0266060218028954,0.1955724568789895,,,,,,,,,,
RMD,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,228.35,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:00:24.025878+00:00,WAIT_PRICE,165.61155952303184,21.624214747619927,0.0362626580956934,0.2313139094356252,,,,,,,,,,
DOV,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,192.88,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:00:42.448090+00:00,WAIT_PRICE,122.3846677025772,22.892374933349448,0.0317255982223603,0.1472935372307698,,,,,,,,,,
EXPE,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WATCH,完整交易日趋势通过，需复核当前报价,FIRST_OBSERVATION,298.04,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T18:01:19.251874+00:00,WAIT_PRICE,334.04964474862425,17.56944049835917,0.0560410758201288,1.684036393713813,2026-09-04T00:00:00+00:00,298.0400085449219,294.3656707763672,257.792446975708,0.3019595927843126,0.1201908141361998,0.1817687786481128,^GSPC,7718.60009765625,378.0
TPR,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,122.14,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:01:21.202694+00:00,WAIT_PRICE,112.53227986840048,15.941414825699402,0.0460669231490095,2.2073399797717093,,,,,,,,,,
STRL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,486.49,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T18:01:23.121377+00:00,WAIT_PRICE,209.3442424553604,34.48829105196997,0.0215157806383852,0.3178923094491698,,,,,,,,,,
ROL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,35.86,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:01:33.696362+00:00,WAIT_PRICE,21.25962285176237,32.44941751067835,0.0296425304681572,0.3719341884461145,,,,,,,,,,
NTAP,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,185.59,2026-09-04T20:00:00+00:00,2026-04-30,2026-09-07T18:02:15.740696+00:00,WAIT_PRICE,106.0997147970494,28.5684971932932,0.0285844374150141,0.9444855662472242,,,,,,,,,,
CHD,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,98.55,2026-09-04T20:00:02+00:00,2025-12-31,2026-09-07T18:02:37.352755+00:00,WAIT_PRICE,62.12376402247156,31.726989357680345,0.0360384127122945,0.1760152890587673,,,,,,,,,,
