ticker,name,source,market_cap,avg_volume,last_price
BULL,Webull Corporation - Class A Ordinary Shares,nasdaq,3759958052.8427243,12267434.0,7.070000171661377
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,nasdaq,3732941835.357399,1910686.0,21.799999237060547
CVCO,"Cavco Industries, Inc. - Common Stock",nasdaq,3732808890.1614685,155511.0,480.9599914550781
BANF,BancFirst Corporation - Common Stock,nasdaq,3727417342.007271,142514.0,110.9800033569336
CLSK,"CleanSpark, Inc. - Common Stock",nasdaq,3657266704.680997,20127501.0,14.300000190734863
DORM,"Dorman Products, Inc. - Common Stock",nasdaq,3616116360.7265244,271745.0,121.01000213623047
CALM,"Cal-Maine Foods, Inc. - Common Stock",nasdaq,3574563495.4681244,872473.0,75.44999694824219
ALHC,"Alignment Healthcare, Inc. - Common Stock",nasdaq,3547552371.134922,3625613.0,17.15999984741211
CVBF,CVB Financial Corporation - Common Stock,nasdaq,3546749506.9123154,1722367.0,20.100000381469727
ADEA,Adeia Inc.  - Common Stock,nasdaq,3513958910.457962,1311794.0,31.860000610351562
AMBA,"Ambarella, Inc. - Ordinary Shares",nasdaq,3490849487.3332214,865495.0,79.72000122070312
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",nasdaq,3324749285.4189606,1444495.0,51.540000915527344
CHEF,"The Chefs' Warehouse, Inc. - Common Stock",nasdaq,3290346983.5647583,486804.0,80.69000244140625
AEHR,Aehr Test Systems - Common Stock,nasdaq,3288752161.449829,2845272.0,104.55999755859375
BEAM,Beam Therapeutics Inc. - Common Stock,nasdaq,3266415044.5,2088962.0,31.75
CSQ,Calamos Strategic Total Return Fund - Closed End Fund,nasdaq,3261918400.3704643,278442.0,20.34000015258789
CLBT,Cellebrite DI Ltd. - Ordinary Shares,nasdaq,3255189659.4268694,1850447.0,13.050000190734863
ERAS,"Erasca, Inc. - Common Stock",nasdaq,3246484606.7534857,6677250.0,10.4399995803833
BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",nasdaq,3221179077.057556,367729.0,50.220001220703125
BTDR,Bitdeer Technologies Group - Ordinary Shares,nasdaq,3204440828.5733585,8402078.0,13.170000076293945
DAVE,Dave Inc.  - Class A Common Stock,nasdaq,3171187463.4595184,590704.0,249.4199981689453
DNLI,Denali Therapeutics Inc. - Common Stock,nasdaq,3121820538.898592,1734600.0,19.670000076293945
DYN,"Dyne Therapeutics, Inc. - Common Stock",nasdaq,3051692522.8106995,2072457.0,18.459999084472656
CAKE,The Cheesecake Factory Incorporated - Common Stock,nasdaq,3039253563.733383,1341660.0,61.16999816894531
COLM,Columbia Sportswear Company - Common Stock,nasdaq,3029580603.9181213,638021.0,59.2400016784668
ALMS,Alumis Inc. - Common Stock,nasdaq,3009536199.370922,1397339.0,23.65999984741211
CECO,CECO Environmental Corp. - Common Stock,nasdaq,2923652026.5,741245.0,81.5
CARG,"CarGurus, Inc. - Class A Common Stock",nasdaq,2921160049.174164,1339063.0,32.38999938964844
CRVL,CorVel Corp. - Common Stock,nasdaq,2920563766.516304,234336.0,56.9900016784668
EOSE,"Eos Energy Enterprises, Inc. - Common Stock",nasdaq,2909539080.931961,25146498.0,8.569999694824219
CCC,CCC Intelligent Solutions Holdings Inc. - Common Stock,nasdaq,2864269882.8500137,12654173.0,4.880000114440918
AYA,Aya Gold & Silver Inc. - Common Shares,nasdaq,2839712910.6920624,260713.0,19.860000610351562
CLMT,"Calumet, Inc - Common Stock",nasdaq,2816595764.4448013,1358834.0,32.31999969482422
AMSC,American Superconductor Corporation - Common Stock,nasdaq,2795793433.320465,1152313.0,58.720001220703125
ATRO,Astronics Corporation - Common Stock,nasdaq,2718915958.2839355,559239.0,75.79000091552734
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",nasdaq,2656770835.1306877,1430593.0,21.239999771118164
EEFT,"Euronet Worldwide, Inc. - Common Stock",nasdaq,2642440780.4683228,718077.0,69.5999984741211
ARCB,ArcBest Corporation - Common Stock,nasdaq,2634027757.4450684,320801.0,118.30999755859375
CLDX,"Celldex Therapeutics, Inc. - Common Stock",nasdaq,2533723988.3444824,1053070.0,32.279998779296875
DJT,Trump Media & Technology Group Corp. - Common Stock,nasdaq,2445502280.1101,3610159.0,8.829999923706055
ANDE,"The Andersons, Inc. - Common Stock",nasdaq,2437589390.834839,357622.0,71.58000183105469
COHU,"Cohu, Inc. - Common Stock",nasdaq,2419151736.5729065,1027140.0,51.279998779296875
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",nasdaq,2411226821.4333572,1089119.0,39.59000015258789
DGII,Digi International Inc. - Common Stock,nasdaq,2367698068.435505,301596.0,62.79999923706055
BRZE,"Braze, Inc. - Class A Common Stock",nasdaq,2351791540.5273056,3144019.0,20.729999542236328
DFTX,"Definium Therapeutics, Inc.  - Common Shares",nasdaq,2334029114.594324,1762272.0,21.399999618530273
DXPE,"DXP Enterprises, Inc. - Common Stock",nasdaq,2312617190.163086,175726.0,149.14999389648438
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",nasdaq,2300095366.319582,3383804.0,25.010000228881836
CSGS,"CSG Systems International, Inc. - Common Stock",nasdaq,2290770742.897339,367793.0,80.3499984741211
BLBD,Blue Bird Corporation - Common Stock,nasdaq,2226654021.355545,404508.0,70.36000061035156
BUSE,First Busey Corporation - Common Stock,nasdaq,2220996240.9581757,587819.0,26.260000228881836
AVPT,"AvePoint, Inc. - Class A Common Stock",nasdaq,2219820098.7346992,1900978.0,10.470000267028809
BANR,Banner Corporation - Common Stock,nasdaq,2200783058.0685806,324391.0,64.79000091552734
BCRX,"BioCryst Pharmaceuticals, Inc. - Common Stock",nasdaq,2180715603.408928,5264950.0,8.579999923706055
DRVN,Driven Brands Holdings Inc. - Common Stock,nasdaq,2179018388.5,2112706.0,13.25
